Transecta	Año	Punto	x	y	Sustrato	Hojarasca	Arbt	Arbo	sp	Estado	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	tq_s	tq_a
2	1938	13	24	0	H	4	1.6	19.34	Amancay	Vivo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2	1938	14	26	0	H	3	5	19.13	Ca?	Seco	1	0	0	1	1	1	0	0	1	0	0	0	1	1	1	1	4	5
2	1938	15	28	0	H	6	5	18.15	Ca?	Seco	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	2
2	1938	15	28	0	H	6	5	18.15	Lathirus	Vivo	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
2	1938	16	30	0	H	5	4.5	19.1	Pasto	Seco	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2	1938	17	32	0	H	4	0	16.9	Osmorhyza	Vivo	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
2	1938	18	34	0	H	7	0	20.47	Ca?	Vivo	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2	1938	18	34	0	H	7	0	20.47	Coihue	Vivo	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2	1938	19	36	0	H	4.5	0	20.22	Ca?	Seco	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2	1938	19	36	0	H	4.5	0	20.22	Maqui	Vivo	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2	1938	20	38	0	H	5	0	20.33	Ca?	Seco	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0
2	1938	20	38	0	H	5	0	20.33	Lathirus	Vivo	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0
2	1938	21	40	0	H	25	0	22.59	Coihue	Seco	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2	1938	22	42	0	H	5	0	21.05	Lathirus	Vivo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2	1938	23	44	0	H	3	0	20.38	Osmorhyza	Seco	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2	1938	23	44	0	H	3	0	20.38	Amancay	Vivo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2	1938	23	44	0	H	3	0	20.38	Lathirus	Vivo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2	1938	24	46	0	T	0	0	20.5	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1938	25	48	0	H	4	0	22.04	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
